	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance	no_skill	beginner	intermediate	advance
		(0.222)	(0.169)	(0.240)		(0.226)	(0.370)	(0.248)		(0.724)	(0.323)	(0.456)		(2.684)	(0.238)	(0.388)		(0.744)	(0.609)	(0.264)		(0.194)	(0.199)	(0.128)
inter_collab		0.522*	1.530	0.699		1.316	0.899	0.812		0.709	1.368	1.013		3.183	0.834	0.749**		0.976	1.131	1.490*		0.913	0.555	0.705
		(0.197)	(0.623)	(0.254)		(0.974)	(0.361)	(0.241)		(0.251)	(0.276)	(0.318)		(2.726)	(0.245)	(0.111)		(0.491)	(0.471)	(0.355)		(0.265)	(0.395)	(0.335)
inter_leadership		2.625*	1.381	1.618		1.088	1.206	2.450***		1.050	1.565*	2.436**		0.967	1.166	2.342**		0.638	1.363	2.774***		1.317	2.609	1.622**
		(1.379)	(0.283)	(0.550)		(0.281)	(0.307)	(0.609)		(0.301)	(0.409)	(0.935)		(0.512)	(0.355)	(0.945)		(0.379)	(0.478)	(0.706)		(0.428)	(1.783)	(0.310)
inter_problem		1.374	0.648	0.748		2.551	1.077	0.603		1.702	2.353	1.158		1.781	0.715	0.278***		0.977	2.069	2.434**		1.303	0.586	0.696
		(1.204)	(0.478)	(0.441)		(2.661)	(1.212)	(0.292)		(1.549)	(1.506)	(0.551)		(1.671)	(0.410)	(0.0985)		(0.436)	(1.406)	(1.039)		(0.890)	(0.452)	(0.304)
male		2.085*	1.204	2.365***		2.015*	1.021	1.266		1.558	1.118	1.739**		0.651	0.817	1.483		2.761***	0.884	1.497***		0.944	2.229***	1.365***
		(0.820)	(0.506)	(0.716)		(0.774)	(0.438)	(0.212)		(0.674)	(0.187)	(0.402)		(0.306)	(0.194)	(0.380)		(1.075)	(0.184)	(0.217)		(0.235)	(0.549)	(0.156)
working		1.192	1.143	0.606		0.600	0.659	0.503*		0.714	0.922	0.346***		2.727	0.974	0.707*		1.083	0.560	0.550*		1.067	0.551*	0.517*
		(0.741)	(0.671)	(0.252)		(0.537)	(0.290)	(0.183)		(0.241)	(0.128)	(0.135)		(2.504)	(0.146)	(0.143)		(0.470)	(0.232)	(0.192)		(0.645)	(0.197)	(0.203)
educ_year		1.056	1.106*	1.225***		1.214	1.247**	1.288***		1.271***	1.195***	1.437***		1.200	1.162**	1.203**		1.060	1.086**	1.142***		1.122**	1.134	1.182***
		(0.0688)	(0.0590)	(0.0866)		(0.156)	(0.111)	(0.0984)		(0.0848)	(0.0494)	(0.0742)		(0.137)	(0.0715)	(0.101)		(0.0640)	(0.0444)	(0.0545)		(0.0561)	(0.106)	(0.0252)
2.quintile		1.568	1.353	0.760		0.717	1.089	1.094		0.393	0.655	0.515**		2.471	0.889	1.744		0.581	0.416	0.617		0.352*	3.767	0.770
		(1.311)	(0.429)	(0.297)		(0.477)	(0.541)	(0.500)		(0.275)	(0.209)	(0.143)		(2.631)	(0.361)	(0.747)		(0.563)	(0.335)	(0.365)		(0.219)	(4.209)	(0.229)
3.quintile		1.626	1.436	1.386		2.560**	1.951	1.941		0.302	0.752	0.634		8.584	1.854	2.500		0.613	0.508	2.609**		0.708	0.310	1.114
