	Quintile Generated from PMT Decile											
Digital skill 05 - digital security	1	1	2	2	3	3	4	4	5	5	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	1,558,155.9	16.1	1,864,292.9	18.6	1,931,493.1	15.8	1,462,993.4	9.7	2,069,162.2	11.2	8,886,097.5	13.6
beginner	174,057.5	1.8	177,102.9	1.8	84,277.4	0.7	407,076.0	2.7	401,278.0	2.2	1,243,791.8	1.9
intermediate	2,811,602.0	29.1	2,455,144.9	24.5	1,431,335.7	11.7	2,382,404.3	15.8	1,470,449.1	8.0	10,550,935.9	16.1
advance	5,121,712.1	53.0	5,541,996.0	55.2	8,771,934.6	71.8	10,846,471.7	71.8	14,543,448.9	78.7	44,825,563.3	68.4
Total	9,665,527.5	100.0	10,038,536.7	100.0	12,219,040.7	100.0	15,098,945.3	100.0	18,484,338.2	100.0	65,506,388.5	100.0

