	1=have intrapersonal skill in selfdirect					
dum_problem	0	0	1	1	Total	Total
	No.	%	No.	%	No.	%
0	5,612,322.5	31.3	12,341,755.8	68.7	17,954,078.3	100.0
1	4,974,533.4	10.5	42,577,776.8	89.5	47,552,310.2	100.0
Total	10,586,855.9	16.2	54,919,532.6	83.8	65,506,388.5	100.0

