	Quintile Generated from PMT Decile											
Digital skill 01 - ICT device use	1	1	2	2	3	3	4	4	5	5	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	1,689,300.8	17.5	1,359,767.5	13.5	2,040,264.8	16.7	2,467,747.6	16.3	1,878,657.7	10.2	9,435,738.5	14.4
beginner	510,966.3	5.3	811,652.8	8.1	1,001,316.6	8.2	521,598.6	3.5	1,074,210.1	5.8	3,919,744.4	6.0
intermediate	844,718.0	8.7	1,459,394.2	14.5	1,216,804.7	10.0	2,303,232.9	15.3	2,583,139.5	14.0	8,407,289.4	12.8
advance	6,620,542.4	68.5	6,407,722.2	63.8	7,960,654.5	65.1	9,806,366.2	64.9	12,948,330.8	70.1	43,743,616.1	66.8
Total	9,665,527.5	100.0	10,038,536.7	100.0	12,219,040.7	100.0	15,098,945.3	100.0	18,484,338.2	100.0	65,506,388.5	100.0

