	RECODE of educ_level (Level of education completed)											
Digital skill 01 - comm and collaboration	not completing elementary	not completing elementary									Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	270,910.9	93.2	4,566,230.3	40.5	3,779,002.1	32.0	3,513,102.1	12.1	732,684.9	5.6	12,861,930.3	19.6
beginner	0.0	0.0	497,748.9	4.4	723,030.7	6.1	1,753,194.4	6.0	685,025.1	5.2	3,658,999.1	5.6
intermediate	2,814.5	1.0	4,940,473.9	43.8	5,366,994.4	45.4	13,468,033.8	46.3	4,167,646.9	31.9	27,945,963.6	42.7
advance	16,797.4	5.8	1,266,052.7	11.2	1,950,236.0	16.5	10,327,248.9	35.5	7,479,160.4	57.2	21,039,495.5	32.1
Total	290,522.9	100.0	11,270,505.8	100.0	11,819,263.3	100.0	29,061,579.3	100.0	13,064,517.2	100.0	65,506,388.5	100.0

