	age group													
Digital skill 04 - digital content creation	15 - 24 y.o	15 - 24 y.o	 25 - 34 y.o	 25 - 34 y.o	35 - 44 y.o	35 - 44 y.o	45 - 54 y.o	45 - 54 y.o	55 - 64 y.o	55 - 64 y.o	> 65 y.o	> 65 y.o	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	206,883.8	1.5	1,798,639.2	10.6	2,662,618.3	15.5	3,825,563.2	31.2	2,103,639.5	49.3	464,422.4	59.8	11,061,766.5	16.9
beginner	27,404.6	0.2	38,567.4	0.2	394,910.5	2.3	916,840.2	7.5	249,984.2	5.9	0.0	0.0	1,627,706.9	2.5
intermediate	10,193,867.1	72.7	11,671,294.3	68.7	10,526,312.5	61.2	6,286,664.3	51.3	1,550,253.3	36.3	139,575.8	18.0	40,367,967.2	61.6
advance	3,584,929.7	25.6	3,483,188.9	20.5	3,616,934.9	21.0	1,224,586.9	10.0	367,251.6	8.6	172,056.0	22.2	12,448,947.9	19.0
Total	14,013,085.2	100.0	16,991,689.7	100.0	17,200,776.2	100.0	12,253,654.6	100.0	4,271,128.6	100.0	776,054.2	100.0	65,506,388.5	100.0

