	Quintile Generated from PMT Decile											
Digital skill 02 - Information and data searching	1	1	2	2	3	3	4	4	5	5	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	1,943,462.9	20.1	1,966,053.9	19.6	2,078,178.1	17.0	2,968,924.6	19.7	2,193,584.1	11.9	11,150,203.6	17.0
beginner	468,484.0	4.8	354,502.7	3.5	832,677.3	6.8	937,087.5	6.2	1,309,572.4	7.1	3,902,324.0	6.0
intermediate	1,440,305.0	14.9	1,317,049.9	13.1	1,831,007.6	15.0	1,190,321.7	7.9	1,272,176.5	6.9	7,050,860.7	10.8
advance	5,813,275.5	60.1	6,400,930.3	63.8	7,477,177.6	61.2	10,002,611.6	66.2	13,709,005.2	74.2	43,403,000.2	66.3
Total	9,665,527.5	100.0	10,038,536.7	100.0	12,219,040.7	100.0	15,098,945.3	100.0	18,484,338.2	100.0	65,506,388.5	100.0

