	age group													
Digital skill 02 - Information and data searching	15 - 24 y.o	15 - 24 y.o	 25 - 34 y.o	 25 - 34 y.o	35 - 44 y.o	35 - 44 y.o	45 - 54 y.o	45 - 54 y.o	55 - 64 y.o	55 - 64 y.o	> 65 y.o	> 65 y.o	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	867,614.9	6.2	1,332,623.8	7.8	2,552,607.2	14.8	3,800,016.1	31.0	2,141,238.8	50.1	456,102.7	58.8	11,150,203.6	17.0
beginner	382,482.0	2.7	1,493,064.1	8.8	1,170,873.4	6.8	697,130.9	5.7	136,600.0	3.2	22,173.7	2.9	3,902,324.0	6.0
intermediate	1,888,508.0	13.5	1,973,619.0	11.6	1,712,312.8	10.0	1,127,211.7	9.2	328,250.6	7.7	20,958.6	2.7	7,050,860.7	10.8
advance	10,874,480.3	77.6	12,192,382.8	71.8	11,764,982.7	68.4	6,629,296.0	54.1	1,665,039.3	39.0	276,819.1	35.7	43,403,000.2	66.3
Total	14,013,085.2	100.0	16,991,689.7	100.0	17,200,776.2	100.0	12,253,654.6	100.0	4,271,128.6	100.0	776,054.2	100.0	65,506,388.5	100.0

