	1=have interpersonal skill in leadership					
dum_security	0	0	1	1	Total	Total
	No.	%	No.	%	No.	%
0	4,685,960.8	52.7	4,200,136.6	47.3	8,886,097.5	100.0
1	13,397,279.0	23.7	43,223,012.0	76.3	56,620,291.0	100.0
Total	18,083,239.9	27.6	47,423,148.6	72.4	65,506,388.5	100.0

