	Quintile Generated from PMT Decile											
Digital skill 04 - digital content creation	1	1	2	2	3	3	4	4	5	5	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	1,814,212.2	18.8	1,678,669.0	16.7	1,706,695.5	14.0	3,123,673.9	20.7	2,738,515.9	14.8	11,061,766.5	16.9
beginner	26,444.1	0.3	94,793.2	0.9	247,446.8	2.0	172,636.3	1.1	1,086,386.6	5.9	1,627,706.9	2.5
intermediate	6,570,192.9	68.0	5,631,151.1	56.1	8,181,482.2	67.0	9,059,615.1	60.0	10,925,525.8	59.1	40,367,967.2	61.6
advance	1,254,678.4	13.0	2,633,923.5	26.2	2,083,416.1	17.1	2,743,020.1	18.2	3,733,909.9	20.2	12,448,947.9	19.0
Total	9,665,527.5	100.0	10,038,536.7	100.0	12,219,040.7	100.0	15,098,945.3	100.0	18,484,338.2	100.0	65,506,388.5	100.0

