	age group													
Digital skill 01 - ICT device use	15 - 24 y.o	15 - 24 y.o	 25 - 34 y.o	 25 - 34 y.o	35 - 44 y.o	35 - 44 y.o	45 - 54 y.o	45 - 54 y.o	55 - 64 y.o	55 - 64 y.o	> 65 y.o	> 65 y.o	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	816,082.0	5.8	1,739,370.4	10.2	2,208,880.5	12.8	2,838,947.9	23.2	1,367,594.5	32.0	464,863.3	59.9	9,435,738.5	14.4
beginner	310,054.4	2.2	942,828.5	5.5	868,937.2	5.1	1,230,975.0	10.0	514,498.0	12.0	52,451.3	6.8	3,919,744.4	6.0
intermediate	419,380.6	3.0	1,751,717.2	10.3	2,990,024.7	17.4	2,373,536.3	19.4	835,173.7	19.6	37,457.0	4.8	8,407,289.4	12.8
advance	12,467,568.3	89.0	12,557,773.6	73.9	11,132,933.9	64.7	5,810,195.4	47.4	1,553,862.4	36.4	221,282.6	28.5	43,743,616.1	66.8
Total	14,013,085.2	100.0	16,991,689.7	100.0	17,200,776.2	100.0	12,253,654.6	100.0	4,271,128.6	100.0	776,054.2	100.0	65,506,388.5	100.0

