	RECODE of educ_level (Level of education completed)											
Digital skill 02 - Information and data searching	not completing elementary	not completing elementary									Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	230,141.9	79.2	4,299,059.8	38.1	3,007,006.4	25.4	2,886,821.3	9.9	727,174.2	5.6	11,150,203.6	17.0
beginner	0.0	0.0	379,969.0	3.4	680,883.1	5.8	2,649,373.9	9.1	192,097.9	1.5	3,902,324.0	6.0
intermediate	0.0	0.0	1,370,335.1	12.2	1,330,461.4	11.3	3,222,898.9	11.1	1,127,165.3	8.6	7,050,860.7	10.8
advance	60,381.0	20.8	5,221,141.8	46.3	6,800,912.3	57.5	20,302,485.3	69.9	11,018,079.8	84.3	43,403,000.2	66.3
Total	290,522.9	100.0	11,270,505.8	100.0	11,819,263.3	100.0	29,061,579.3	100.0	13,064,517.2	100.0	65,506,388.5	100.0

