	RECODE of educ_level (Level of education completed)											
Digital skill 05 - digital problem solving	not completing elementary	not completing elementary									Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	212,665.7	73.2	5,198,879.5	46.1	4,926,344.8	41.7	5,990,721.7	20.6	1,625,466.6	12.4	17,954,078.3	27.4
beginner	0.0	0.0	721,324.9	6.4	1,084,985.1	9.2	1,912,315.8	6.6	566,297.3	4.3	4,284,923.1	6.5
intermediate	0.0	0.0	415,315.5	3.7	374,950.1	3.2	559,049.6	1.9	512,870.1	3.9	1,862,185.3	2.8
advance	77,857.2	26.8	4,934,985.9	43.8	5,432,983.3	46.0	20,599,492.2	70.9	10,359,883.3	79.3	41,405,201.8	63.2
Total	290,522.9	100.0	11,270,505.8	100.0	11,819,263.3	100.0	29,061,579.3	100.0	13,064,517.2	100.0	65,506,388.5	100.0

