	Quintile Generated from PMT Decile											
Digital skill 01 - comm and collaboration	1	1	2	2	3	3	4	4	5	5	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	1,848,551.1	19.1	2,451,669.2	24.4	3,067,375.3	25.1	3,196,058.6	21.2	2,298,276.1	12.4	12,861,930.3	19.6
beginner	719,912.3	7.4	360,728.4	3.6	437,822.0	3.6	1,206,255.7	8.0	934,280.6	5.1	3,658,999.1	5.6
intermediate	3,975,541.0	41.1	3,973,653.1	39.6	5,498,555.9	45.0	6,575,741.7	43.6	7,922,472.0	42.9	27,945,963.6	42.7
advance	3,121,523.2	32.3	3,252,486.1	32.4	3,215,287.4	26.3	4,120,889.3	27.3	7,329,309.6	39.7	21,039,495.5	32.1
Total	9,665,527.5	100.0	10,038,536.7	100.0	12,219,040.7	100.0	15,098,945.3	100.0	18,484,338.2	100.0	65,506,388.5	100.0

