	age group													
Digital skill 05 - digital problem solving	15 - 24 y.o	15 - 24 y.o	 25 - 34 y.o	 25 - 34 y.o	35 - 44 y.o	35 - 44 y.o	45 - 54 y.o	45 - 54 y.o	55 - 64 y.o	55 - 64 y.o	> 65 y.o	> 65 y.o	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	1,463,722.4	10.4	2,405,782.6	14.2	4,624,843.4	26.9	6,418,312.6	52.4	2,492,454.5	58.4	548,962.8	70.7	17,954,078.3	27.4
beginner	346,680.1	2.5	1,220,352.7	7.2	1,642,213.3	9.5	874,501.9	7.1	175,632.5	4.1	25,542.7	3.3	4,284,923.1	6.5
intermediate	278,420.5	2.0	373,078.1	2.2	213,607.0	1.2	585,858.3	4.8	411,221.3	9.6	0.0	0.0	1,862,185.3	2.8
advance	11,924,262.2	85.1	12,992,476.3	76.5	10,720,112.6	62.3	4,374,981.8	35.7	1,191,820.3	27.9	201,548.7	26.0	41,405,201.8	63.2
Total	14,013,085.2	100.0	16,991,689.7	100.0	17,200,776.2	100.0	12,253,654.6	100.0	4,271,128.6	100.0	776,054.2	100.0	65,506,388.5	100.0

