	RECODE of educ_level (Level of education completed)											
Digital skill 01 - ICT device use	not completing elementary	not completing elementary									Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	204,862.3	70.5	3,008,518.7	26.7	2,837,146.0	24.0	2,747,057.9	9.5	638,153.6	4.9	9,435,738.5	14.4
beginner	5,220.3	1.8	1,119,301.5	9.9	1,035,608.1	8.8	1,564,206.0	5.4	195,408.7	1.5	3,919,744.4	6.0
intermediate	2,583.1	0.9	1,985,093.8	17.6	1,210,700.4	10.2	3,400,627.1	11.7	1,808,285.0	13.8	8,407,289.4	12.8
advance	77,857.2	26.8	5,157,591.8	45.8	6,735,808.9	57.0	21,349,688.4	73.5	10,422,669.9	79.8	43,743,616.1	66.8
Total	290,522.9	100.0	11,270,505.8	100.0	11,819,263.3	100.0	29,061,579.3	100.0	13,064,517.2	100.0	65,506,388.5	100.0

