	RECODE of educ_level (Level of education completed)											
Digital skill 04 - digital content creation	not completing elementary	not completing elementary									Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	212,665.7	73.2	3,308,824.2	29.4	2,836,697.5	24.0	3,548,766.2	12.2	1,154,812.9	8.8	11,061,766.5	16.9
beginner	0.0	0.0	219,585.2	1.9	129,199.4	1.1	789,647.5	2.7	489,274.9	3.7	1,627,706.9	2.5
intermediate	61,059.8	21.0	5,818,713.9	51.6	7,068,299.3	59.8	19,408,296.5	66.8	8,011,597.6	61.3	40,367,967.2	61.6
advance	16,797.4	5.8	1,923,382.5	17.1	1,785,067.1	15.1	5,314,869.1	18.3	3,408,831.8	26.1	12,448,947.9	19.0
Total	290,522.9	100.0	11,270,505.8	100.0	11,819,263.3	100.0	29,061,579.3	100.0	13,064,517.2	100.0	65,506,388.5	100.0

