	Quintile Generated from PMT Decile											
Digital skill 05 - digital problem solving	1	1	2	2	3	3	4	4	5	5	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	2,608,538.1	27.0	2,851,656.0	28.4	3,710,849.1	30.4	4,484,367.2	29.7	4,298,667.8	23.3	17,954,078.3	27.4
beginner	708,570.2	7.3	389,182.4	3.9	717,298.0	5.9	1,312,245.4	8.7	1,157,627.1	6.3	4,284,923.1	6.5
intermediate	103,572.7	1.1	449,290.1	4.5	38,420.0	0.3	483,054.5	3.2	787,847.9	4.3	1,862,185.3	2.8
advance	6,244,846.5	64.6	6,348,408.2	63.2	7,752,473.5	63.4	8,819,278.2	58.4	12,240,195.5	66.2	41,405,201.8	63.2
Total	9,665,527.5	100.0	10,038,536.7	100.0	12,219,040.7	100.0	15,098,945.3	100.0	18,484,338.2	100.0	65,506,388.5	100.0

