	age group													
Digital skill 05 - digital security	15 - 24 y.o	15 - 24 y.o	 25 - 34 y.o	 25 - 34 y.o	35 - 44 y.o	35 - 44 y.o	45 - 54 y.o	45 - 54 y.o	55 - 64 y.o	55 - 64 y.o	> 65 y.o	> 65 y.o	Total	Total
	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%	No.	%
no skill	951,332.1	6.8	1,416,699.2	8.3	1,357,203.2	7.9	3,126,867.3	25.5	1,596,466.7	37.4	437,529.0	56.4	8,886,097.5	13.6
beginner	193,082.8	1.4	254,438.6	1.5	491,864.1	2.9	275,683.3	2.2	28,723.0	0.7	0.0	0.0	1,243,791.8	1.9
intermediate	3,429,407.4	24.5	2,916,578.3	17.2	2,558,105.9	14.9	1,273,481.5	10.4	320,613.4	7.5	52,749.5	6.8	10,550,935.9	16.1
advance	9,439,262.8	67.4	12,403,973.6	73.0	12,793,603.0	74.4	7,577,622.6	61.8	2,325,325.6	54.4	285,775.7	36.8	44,825,563.3	68.4
Total	14,013,085.2	100.0	16,991,689.7	100.0	17,200,776.2	100.0	12,253,654.6	100.0	4,271,128.6	100.0	776,054.2	100.0	65,506,388.5	100.0

